band,spanish,pos,corpus,prob,dictionary,revert,note,verdict,shared,shared_dict
first,para,n,discorso,0.209,,,dictionary offered nothing,neither,,
first,cuando,adv,tanto,0.211,,,dictionary offered nothing,neither,,
first,sobre,n,busta,0.383,,,dictionary offered nothing,corpus,envelope,
first,hasta,adv,anche,0.186,fino,,corpus beats dictionary 2.1x,corpus,even,
first,era,n,era,0.196,,,dictionary offered nothing,corpus,age era,
first,ni,adv,non,0.253,,,dictionary offered nothing,corpus,don,
first,seguir,vblex,continuare,0.253,seguire,,corpus beats dictionary 2.5x,both,continue doing keep,follow pursue
first,tanto,adv,così,0.338,tanto,,corpus beats dictionary 2.4x,neither,,
first,forma,n,modo,0.323,forma,,corpus beats dictionary 2.0x,both,manner way,shape
first,nadie,n,vero,0.196,,,dictionary offered nothing,neither,,
first,manera,n,modo,0.419,maniera,,corpus beats dictionary 6.6x,both,manner style way,manner style way
first,medio,adj,medio,0.385,mezzo,,corpus beats dictionary 2.5x,both,average middle,half middle
first,lado,n,parte,0.247,lato,,corpus beats dictionary 2.0x,dictionary,,side
first,final,n,fine,0.526,finale,,corpus beats dictionary 21.2x,both,end,after end final last
first,política,n,politica,0.853,,,dictionary offered nothing,corpus,equivalent female policy politics,
first,claro,adv,certo,0.314,,,dictionary offered nothing,corpus,certainly course,
first,terminar,vblex,finire,0.324,terminare,,corpus beats dictionary 7.0x,both,end finish,end finish terminate
first,igual,adv,non,0.17,,,dictionary offered nothing,neither,,
first,incluso,adv,anche,0.408,persino,,corpus beats dictionary 2.1x,both,even,even
first,primero,adv,prima,0.337,,,dictionary offered nothing,neither,,
first,tema,n,questione,0.222,,,dictionary offered nothing,corpus,matter,
first,comenzar,vblex,iniziare,0.303,cominciare,,corpus beats dictionary 1.7x,both,begin,begin commence
first,cierto,adj,vero,0.39,certo,,corpus beats dictionary 6.7x,both,true,true
first,intentar,vblex,cercare,0.323,tentare,,corpus beats dictionary 3.2x,both,try,attempt try
first,conseguir,vblex,riuscire,0.152,conseguire,,corpus beats dictionary 4.4x,both,achieve reach succeed,achieve attain gain get
first,educación,n,istruzione,0.628,educazione,,corpus beats dictionary 4.2x,both,education,education etiquette manners upbringing
first,largo,n,corso,0.164,,,dictionary offered nothing,neither,,
first,puesto,n,posto,0.425,,,dictionary offered nothing,corpus,job place position,
first,realmente,adv,davvero,0.298,veramente,,corpus beats dictionary 1.7x,both,actually really,actually really
first,junto,adj,insieme,0.533,assieme,,corpus beats dictionary 9.3x,both,together,together
first,video,n,fronte,0.18,,,dictionary offered nothing,neither,,
first,convertir,vblex,diventare,0.483,,,dictionary offered nothing,corpus,become turn,
core,bastante,adj,scordare,0.16,,,dictionary offered nothing,neither,,
core,apoyo,n,sostegno,0.421,appoggio,,corpus beats dictionary 3.5x,both,support,support
core,propio,adj,stesso,0.269,,,dictionary offered nothing,neither,,
core,formar,vblex,fare,0.282,formare,,corpus beats dictionary 3.7x,both,constitute create make,create educate make train
core,vista,n,vista,0.391,,,dictionary offered nothing,corpus,appearance eyesight look sight,
core,actual,n,velocità,0.318,,,dictionary offered nothing,neither,,
core,ocurrir,vblex,succedere,0.171,,,dictionary offered nothing,corpus,come happen occur,
core,llamado,adj,cosiddetto,0.311,,,dictionary offered nothing,corpus,called,
core,papel,n,ruolo,0.572,carta,,corpus beats dictionary 6.6x,both,role,paper
core,resultar,vblex,essere,0.36,risultare,,corpus beats dictionary 10.9x,dictionary,,out prove seem turn
core,vale,n,soldo,0.398,,,dictionary offered nothing,neither,,
core,cumplir,vblex,rispettare,0.188,compiere,,corpus beats dictionary 10.7x,both,comply,complete fulfilled out turn
core,referir,vblex,riguardare,0.261,riferire,,corpus beats dictionary 2.9x,dictionary,,relate report
core,alrededor,adv,circa,0.262,,,dictionary offered nothing,neither,,
core,especialmente,adv,particolarmente,0.256,specialmente,,corpus beats dictionary 4.8x,neither,,
core,anterior,adj,precedente,0.521,,,dictionary offered nothing,corpus,earlier former previous,
core,justo,adv,proprio,0.26,,,dictionary offered nothing,corpus,exactly just right,
core,comer,n,volta,0.2,,,dictionary offered nothing,neither,,
core,busca,n,cerca,0.171,,,dictionary offered nothing,corpus,search,
core,desear,vblex,volere,0.326,desiderare,,corpus beats dictionary 1.7x,both,desire want wish,desire long want wish
core,conocido,adj,noto,0.397,,,dictionary offered nothing,corpus,famous known well,
core,regresar,vblex,tornare,0.499,ritornare,,corpus beats dictionary 6.7x,both,back come return,back return
core,levantar,vblex,terminare,0.336,alzare,,corpus beats dictionary 2.1x,both,end,build increase lift put
core,diferente,adj,diverso,0.487,differente,,corpus beats dictionary 11.3x,both,different,different
core,encantar,vblex,piacere,0.226,,,dictionary offered nothing,corpus,delight,
core,natural,n,e,0.179,,,dictionary offered nothing,neither,,
core,conmigo,adv,me,0.374,,,dictionary offered nothing,neither,,
core,llamada,n,telefonata,0.248,chiamata,,corpus beats dictionary 1.7x,both,call,call
core,carta,n,lettera,0.652,carta,,corpus beats dictionary 5.4x,both,letter,card map menu
core,rápido,adv,presto,0.299,,,dictionary offered nothing,corpus,fast quickly,
core,solamente,adv,solo,0.429,solamente,,corpus beats dictionary 15.0x,both,alone merely only,alone merely only
core,contenido,n,contenuto,0.709,,,dictionary offered nothing,corpus,content contents,
core,encuentro,n,incontro,0.423,,,dictionary offered nothing,corpus,encounter match meeting,
core,ropa,n,vestito,0.376,,,dictionary offered nothing,corpus,clothes clothing,
core,instituto,n,istituto,0.461,liceo,,corpus beats dictionary 12.3x,both,institute,school secondary
core,juicio,n,processo,0.282,giudizio,,corpus beats dictionary 1.7x,both,trial,judgement judgment opinion trial
core,asunto,n,questione,0.283,affare,,corpus beats dictionary 5.0x,both,issue matter,affair business matter
core,destacar,vblex,sottolineare,0.318,,,dictionary offered nothing,corpus,emphasize out point stress,
core,don,n,don,0.313,dono,,corpus beats dictionary 3.7x,both,man respect sir title,gift
core,enfrentar,vblex,affrontare,0.226,,,dictionary offered nothing,corpus,confront cope deal face,
core,exigir,vblex,richiedere,0.251,esigere,,corpus beats dictionary 2.1x,both,demand exact require,call demand exact require
core,asociación,n,partenariato,0.495,associazione,,corpus beats dictionary 1.6x,both,partnership,association partnership
core,completo,n,completamente,0.241,completo,,corpus beats dictionary 12.7x,neither,,
common,cuidado,adj,attento,0.22,,,dictionary offered nothing,neither,,
common,cuidado,n,attenzione,0.188,cura,,corpus beats dictionary 2.6x,both,attention care,care treatment
common,perro,adj,AI,1.0,,,dictionary offered nothing,unknown,,
common,solicitar,vblex,chiedere,0.456,,,dictionary offered nothing,corpus,ask request,
common,aprovechar,vblex,cogliere,0.255,sfruttare,,corpus beats dictionary 1.8x,both,take,advantage make take
common,comercial,n,pubblicità,0.22,,,dictionary offered nothing,corpus,advert commercial,
common,pretender,vblex,intendere,0.195,pretendere,,corpus beats dictionary 7.1x,both,intend,claim
common,debate,n,discussione,0.63,dibattito,,corpus beats dictionary 2.9x,both,discussion,debate discussion
common,diseño,n,progettazione,0.212,design,,corpus beats dictionary 4.9x,both,design,design
common,mando,n,comando,0.364,,,dictionary offered nothing,corpus,command control,
common,marco,n,quadro,0.597,,,dictionary offered nothing,corpus,other,
common,empleo,n,occupazione,0.463,impiego,,corpus beats dictionary 21.4x,both,employment job,employment job
common,café,adj,marrone,0.369,,,dictionary offered nothing,corpus,brown,
common,señalar,vblex,sottolineare,0.182,segnalare,,corpus beats dictionary 3.1x,both,out point,indicate out point signal
common,intento,n,tentativo,0.639,,,dictionary offered nothing,corpus,attempt,
common,corresponder,vblex,spettare,0.289,corrispondere,,corpus beats dictionary 3.9x,dictionary,,correspond love reciprocate
common,raro,adj,strano,0.404,raro,,corpus beats dictionary 4.7x,both,odd strange,rare
common,crítica,n,critica,0.549,,,dictionary offered nothing,corpus,criticism equivalent female,
common,piso,n,piano,0.4,appartamento,,corpus beats dictionary 2.8x,both,building flat floor level,apartment flat
common,pro,adj,riguardare,0.18,,,dictionary offered nothing,neither,,
common,presupuesto,n,bilancio,0.81,,,dictionary offered nothing,corpus,budget,
common,querido,adj,caro,0.51,,,dictionary offered nothing,corpus,dear letter,
common,antiguo,adj,vecchio,0.341,antico,,corpus beats dictionary 2.3x,both,fashioned old,ancient
common,carga,n,onere,0.434,fardello,,corpus beats dictionary 9.4x,both,burden,burden
common,culo,n,sedere,0.205,culo,,corpus beats dictionary 3.9x,both,bottom butt buttocks,anus ass bottom butt
common,municipal,adj,comunale,0.292,municipale,,corpus beats dictionary 1.5x,both,municipal,municipal
common,poseer,vblex,avere,0.302,possedere,,corpus beats dictionary 2.1x,both,have,have own possess
common,cárcel,n,prigione,0.316,galera,,corpus beats dictionary 1.6x,both,prison,prison
common,rechazar,vblex,respingere,0.429,rifiutare,,corpus beats dictionary 3.2x,both,away decline down off,decline deny refuse reject
common,familiar,n,parente,0.286,familiare,,corpus beats dictionary 2.2x,both,relative,car estate family member
common,técnica,n,tecnica,0.553,,,dictionary offered nothing,corpus,technique,
common,ejercer,vblex,esercitare,0.478,svolgere,,corpus beats dictionary 24.7x,corpus,exercise,
common,corto,adj,breve,0.473,corto,,corpus beats dictionary 3.3x,both,short small,short
common,oír,vblex,sentire,0.432,ascoltare,,corpus beats dictionary 6.7x,both,hear,listen
common,estadounidense,adj,americano,0.525,statunitense,,corpus beats dictionary 2.6x,both,american states united,american states united
common,colocar,vblex,mettere,0.222,collocare,,corpus beats dictionary 6.0x,both,place put,place put
common,tratado,n,trattato,0.785,,,dictionary offered nothing,corpus,treaty,
common,compañero,n,collega,0.381,compagno,,corpus beats dictionary 1.5x,both,colleague,companion comrade fellow friend
common,asesinato,n,omicidio,0.473,assassinio,,corpus beats dictionary 2.8x,both,homicide murder,assassination murder
common,correcto,adj,giusto,0.421,corretto,,corpus beats dictionary 1.9x,both,right,correct
common,afectar,vblex,riguardare,0.25,,,dictionary offered nothing,corpus,have speak,
common,bebé,n,bambino,0.485,neonato,,corpus beats dictionary 11.8x,both,baby,baby
common,decreto,n,decreto,0.45,,,dictionary offered nothing,corpus,decree,
common,municipio,n,comune,0.251,municipio,,corpus beats dictionary 8.3x,corpus,municipality,
common,etapa,n,fase,0.396,tappa,,corpus beats dictionary 1.5x,both,phase stage step,leg phase stage
common,precisamente,adv,proprio,0.516,appunto,,corpus beats dictionary 13.1x,dictionary,,precisely
common,dudar,vblex,dubitare,0.219,esitare,,corpus beats dictionary 3.3x,corpus,doubt,
common,móvil,n,movente,0.171,cellulare,,corpus beats dictionary 10.0x,both,motive,cell cellular phone
common,trato,n,trattamento,0.4,,,dictionary offered nothing,corpus,treatment,
common,aparte,adv,oltre,0.167,,,dictionary offered nothing,corpus,apart,
common,marcar,vblex,segnare,0.218,,,dictionary offered nothing,corpus,down mark read say,
common,lindo,adj,bello,0.424,carino,,corpus beats dictionary 4.5x,dictionary,,cute pretty
common,agarrar,vblex,prendere,0.249,afferrare,,corpus beats dictionary 2.8x,both,catch feeling hold illness,grab take
common,evidencia,n,prova,0.252,evidenza,,corpus beats dictionary 3.5x,both,evidence,evidence
common,vuelto,n,resto,0.192,,,dictionary offered nothing,corpus,change,
common,escenario,n,scenario,0.225,palco,,corpus beats dictionary 2.8x,both,scenario,stage
common,igualdad,n,parità,0.361,uguaglianza,,corpus beats dictionary 1.7x,both,equality,equality
common,sesión,n,seduta,0.642,sessione,,corpus beats dictionary 9.9x,both,meeting session,session
common,tarjeta,n,biglietto,0.233,carta,,corpus beats dictionary 1.7x,both,card,card
common,enterar,vblex,sapere,0.248,scoprire,,corpus beats dictionary 3.0x,both,come find know out,find out
common,corriente,adj,comune,0.188,corrente,,corpus beats dictionary 1.9x,both,common ordinary usual,current ordinary running
common,escala,n,livello,0.471,scala,,corpus beats dictionary 3.0x,dictionary,,ladder scale
common,montón,n,sacco,0.156,mucchio,,corpus beats dictionary 1.8x,both,lot ton,heap pile
common,cantar,n,leggenda,0.491,,,dictionary offered nothing,neither,,
common,brindar,vblex,offrire,0.227,brindare,,corpus beats dictionary 4.3x,both,offer,toast
common,representación,n,rappresentanza,0.453,rappresentazione,,corpus beats dictionary 11.6x,both,representation,representation
common,resumen,n,sintesi,0.195,riassunto,,corpus beats dictionary 10.7x,both,summary,abstract summary
common,pegar,vblex,picchiare,0.181,attaccare,,corpus beats dictionary 8.4x,both,hit strike,stick
common,gay,adj,omosessuale,0.184,,,dictionary offered nothing,corpus,homosexual,
common,pesar,n,nonostante,0.39,,,dictionary offered nothing,neither,,
useful,suma,n,somma,0.379,,,dictionary offered nothing,corpus,addition sum,
useful,trasladar,vblex,trasferire,0.259,spostare,,corpus beats dictionary 2.5x,both,move transfer,change move transfer
useful,opinar,vblex,ritenere,0.156,,,dictionary offered nothing,corpus,think,
useful,alegrar,vblex,essere,0.216,,,dictionary offered nothing,neither,,
useful,reclamar,vblex,chiedere,0.232,reclamare,,corpus beats dictionary 2.6x,both,ask,claim complain demand object
useful,marchar,vblex,andare,0.29,,,dictionary offered nothing,neither,,
useful,cariño,n,tesoro,0.27,affetto,,corpus beats dictionary 14.1x,dictionary,,affection
useful,secundaria,n,liceo,0.231,,,dictionary offered nothing,corpus,high school secondary,
useful,ámbito,n,settore,0.283,ambito,,corpus beats dictionary 1.6x,dictionary,,scope
useful,conexión,n,collegamento,0.282,connessione,,corpus beats dictionary 2.5x,both,connection,connection
useful,salón,n,salotto,0.171,,,dictionary offered nothing,corpus,drawing living room sitting,
useful,estudiante,adj,bravo,0.335,,,dictionary offered nothing,neither,,
useful,actuación,n,azione,0.329,spettacolo,,corpus beats dictionary 8.4x,both,action,performance show
useful,efectivo,adj,efficace,0.547,effettivo,,corpus beats dictionary 4.8x,both,effective,effective real
useful,efectivo,n,contante,0.315,,,dictionary offered nothing,corpus,cash money,
useful,firme,adj,forte,0.183,,,dictionary offered nothing,corpus,strong,
useful,herramienta,n,strumento,0.761,attrezzo,,corpus beats dictionary 35.2x,both,implement tool,implement tool
useful,acudir,vblex,venire,0.163,,,dictionary offered nothing,corpus,come mind,
useful,peña,n,rupe,0.24,,,dictionary offered nothing,corpus,cliff,
useful,argumento,n,argomentazione,0.421,argomento,,corpus beats dictionary 2.0x,both,argument,argument
useful,ingresar,vblex,aderire,0.152,,,dictionary offered nothing,corpus,join,
useful,musical,n,musical,0.261,,,dictionary offered nothing,corpus,musical,
useful,oriente,n,ovest,0.178,,,dictionary offered nothing,neither,,
useful,paga,n,paga,0.336,,,dictionary offered nothing,neither,,
useful,únicamente,adv,solo,0.417,unicamente,,corpus beats dictionary 18.0x,both,only,only
useful,activo,n,bene,0.245,attivo,,corpus beats dictionary 3.6x,corpus,asset property right,
useful,triunfo,n,trionfo,0.236,vittoria,,corpus beats dictionary 2.7x,corpus,triumph,
useful,caballero,n,signore,0.405,cavaliere,,corpus beats dictionary 8.3x,both,gentleman,gentleman horseman knight
useful,vincular,vblex,collegare,0.218,,,dictionary offered nothing,corpus,link,
useful,emplear,vblex,utilizzare,0.216,impiegare,,corpus beats dictionary 2.1x,dictionary,,employ hire spend
useful,parecido,n,somiglianza,0.422,,,dictionary offered nothing,corpus,resemblance,
useful,puro,n,sigaro,0.263,,,dictionary offered nothing,corpus,cigar,
useful,granada,n,granata,0.299,,,dictionary offered nothing,corpus,grenade hand pomegranate,
useful,aniversario,adj,novantunesimo,0.198,,,dictionary offered nothing,neither,,
useful,anoche,adv,ieri,0.359,,,dictionary offered nothing,neither,,
useful,comparación,n,confronto,0.188,paragone,,corpus beats dictionary 1.7x,both,comparison,comparison
useful,centrar,vblex,concentrare,0.211,,,dictionary offered nothing,corpus,focus,
useful,meta,n,obiettivo,0.478,traguardo,,corpus beats dictionary 10.9x,both,goal,goal
useful,posteriormente,adv,poi,0.203,,,dictionary offered nothing,corpus,later,
useful,prohibir,vblex,vietare,0.44,proibire,,corpus beats dictionary 2.9x,both,forbid prohibit,forbid prohibit
useful,fabricar,vblex,produrre,0.264,fabbricare,,corpus beats dictionary 1.9x,both,manufacture,build manufacture
useful,finalizar,vblex,concludere,0.28,finire,,corpus beats dictionary 10.3x,both,end finish,end finish
useful,manejo,n,gestione,0.179,,,dictionary offered nothing,neither,,
useful,oído,n,orecchia,0.289,udito,,corpus beats dictionary 8.7x,both,ear,hearing
useful,turno,n,tempo,0.277,turno,,corpus beats dictionary 1.6x,both,period time,duty guard shift turn
useful,posterior,adj,successivo,0.289,,,dictionary offered nothing,neither,,
useful,preparado,adj,pronto,0.421,,,dictionary offered nothing,corpus,prepared,
useful,callar,vblex,tacere,0.167,,,dictionary offered nothing,corpus,keep shut silent,
useful,paseo,n,passeggiata,0.229,passeggio,,corpus beats dictionary 14.1x,both,act park place promenade,act place promenade stroll
useful,secretaría,n,segretariato,0.304,,,dictionary offered nothing,corpus,secretariat,
useful,incrementar,vblex,aumentare,0.345,incrementare,,corpus beats dictionary 5.7x,both,increase rise,increase
useful,despedir,vblex,licenziare,0.317,,,dictionary offered nothing,corpus,dismiss fire,
useful,castellano,adj,spagnolo,0.248,,,dictionary offered nothing,corpus,language spanish,
useful,correspondiente,adj,relativo,0.156,corrispondente,,corpus beats dictionary 3.2x,both,respective,corresponding
useful,distinto,adj,diverso,0.449,distinto,,corpus beats dictionary 20.8x,dictionary,,distinct
useful,índice,n,tasso,0.35,indice,,corpus beats dictionary 3.2x,dictionary,,finger index
useful,feria,n,fiera,0.328,,,dictionary offered nothing,corpus,fair,
useful,posiblemente,adv,forse,0.314,possibilmente,,corpus beats dictionary 21.5x,corpus,possibly,
useful,liderar,vblex,guidare,0.185,,,dictionary offered nothing,corpus,lead,
useful,avance,n,progresso,0.406,,,dictionary offered nothing,corpus,progress,
useful,empleado,n,dipendente,0.277,impiegato,,corpus beats dictionary 1.9x,both,employee,employee
useful,hacienda,n,finanza,0.158,tenuta,,corpus beats dictionary 3.8x,neither,,
useful,petición,n,richiesta,0.513,petizione,,corpus beats dictionary 5.6x,corpus,request,
useful,comunicado,n,comunicato,0.28,,,dictionary offered nothing,corpus,statement,
useful,proveer,vblex,fornire,0.167,provvedere,,corpus beats dictionary 1.5x,both,equip furnish give provide,decision furnish provide supply
useful,implementar,vblex,attuare,0.216,,,dictionary offered nothing,corpus,implement,
useful,postura,n,posizione,0.593,,,dictionary offered nothing,corpus,position,
useful,primo,adj,primo,0.55,,,dictionary offered nothing,corpus,prime,
useful,coño,n,diavolo,0.393,,,dictionary offered nothing,neither,,
