rank,verb,aggregated,infinitive_zipf,note
23,gustar,5.98e-04,4.05,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
26,necesitar,5.56e-04,4.09,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
85,significar,1.93e-04,3.93,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
99,suponer,1.71e-04,4.02,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
106,resultar,1.66e-04,4.08,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
112,referir,1.56e-04,3.21,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
135,desear,1.23e-04,4.0,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
140,encantar,1.18e-04,3.44,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
146,anunciar,1.16e-04,3.98,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
151,proponer,1.14e-04,4.06,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
157,indicar,1.08e-04,4.07,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
158,depender,1.08e-04,3.91,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
161,merecer,1.07e-04,3.47,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
162,preocupar,1.05e-04,3.49,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
166,afirmar,1.01e-04,4.04,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
171,preferir,9.93e-05,3.45,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
176,contener,9.58e-05,4.1,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
181,registrar,9.46e-05,3.98,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
185,pertenecer,9.13e-05,3.98,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
188,acompañar,9.10e-05,4.0,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
189,sonar,9.07e-05,4.08,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
192,dedicar,9.04e-05,3.91,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
211,requerir,8.13e-05,3.57,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
213,pretender,7.94e-05,3.87,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
215,recomendar,7.93e-05,3.71,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
217,surgir,7.81e-05,3.86,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
219,interesar,7.75e-05,3.56,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
223,faltar,7.60e-05,4.01,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
228,acercar,7.43e-05,3.56,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
234,corresponder,7.20e-05,3.3,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
235,acordar,7.12e-05,4.03,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
240,obligar,6.97e-05,3.87,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
241,constituir,6.96e-05,3.66,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
247,sostener,6.78e-05,4.05,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
250,plantear,6.56e-05,3.92,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
251,hallar,6.56e-05,3.92,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
253,poseer,6.51e-05,3.91,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
254,rechazar,6.50e-05,3.99,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
