spanish,reason,note
do,musical note,"Note names are the same class as letter names, which were already excluded. `do` also collides with the English word throughout the subtitle corpus."
re,musical note,As above. Its corpus answers came from the Italian prefix `ri-` and from noise.
fa,musical note,As above.
sol,musical note,"Kept out as a note name. `sol` = sun is real but rare beside `soleil`-class vocabulary; `sol` scored only noise."
maría,proper noun,"A given name. Aligned to `dire` at 0.54 because subtitle dialogue addresses her constantly."
china,proper noun,"Country name. Also collides with `china` = pebble, which is not top-3000 vocabulary."
cuba,proper noun,Country name. Aligned to `luce` at 0.19 from noise.
corea,proper noun,Country name.
et,not Spanish,"Latin, riding in from legal and scientific citations in Europarl. Aligned to `de` at 1.0."
web,not Spanish,English borrowing left untranslated on both sides.
online,not Spanish,English borrowing left untranslated on both sides. Aligned to `su` at 0.55.
oh,not Spanish,"Interjection, and interjections were moved to their own section."
show,not Spanish,English borrowing left untranslated on both sides.
abierta,inflected form,"Feminine of `abierto`, which is the lexicon entry. Slipped past the masculine-singular rule."
corta,inflected form,"Feminine of `corto`, and also a form of `cortar`. Aligned to `raggio` from noise."
cuarta,inflected form,"Feminine of `cuarto`. Aligned to `lo` at 0.86, which is pure function-word noise."
basada,inflected form,"Past participle of `basar`, feminine. `basado` was already dropped by the participle rule."
cagar,not wanted,"Vulgar. Frequent in the subtitle corpus and a real verb, but not something Rachel wants to study. Excluded rather than removed from the lexicon so no ranks shift."
acabo,inflected form,"First person of `acabar`, which is itself a card (finire 17%). Rode in on `acabo de`, the just-happened construction, which accounts for 91% of its uses."
basa,inflected form,"Third person of `basar`. 98% of its uses are `se basa en`."
basado,inflected form,"Past participle of `basar`. Its card read `su`, which is a preposition and not a meaning."
quedo,inflected form,"First person of `quedar`, which is a card. 77% of its uses are `me quedo`."
puesta,inflected form,"Feminine participle of `poner`. Rode in on `puesta en marcha`."
pasada,inflected form,"Feminine of `pasado`. Rode in on `la semana pasada`."
tercera,inflected form,"Feminine of `tercero`, which is the lexicon entry."
ja,not Spanish,"Written laughter."
agustín,proper noun,"A given name. Its card read `giù`, which is noise."
arturo,proper noun,"A given name. Its card read `totò`, an Italian comedian."
lisa,proper noun,A given name.
alta,inflected form,Feminine of `alto`. `mare` came from `alta mar`.
santa,inflected form,"Feminine of `santo`, which is the lexicon entry."
plena,inflected form,Feminine of `pleno`.
fría,inflected form,Feminine of `frío`.
directa,inflected form,Feminine of `directo`.
privada,inflected form,Feminine of `privado`.
previa,inflected form,Feminine of `previo`. `generale` is unrelated.
escrita,inflected form,Feminine of `escrito`.
clara,inflected form,"Feminine of `claro`. The egg-white sense is real but rare, and `roccia` is not it."
sexta,inflected form,Feminine of `sexto`.
basta,inflected form,Third person of `bastar`.
dan,inflected form,Third person plural of `dar`. `danno` is Italian for damage.
dije,inflected form,First person of `decir`. The pendant sense is rare.
juro,inflected form,First person of `jurar`.
leo,inflected form,"First person of `leer`. Its card read `di`, a preposition."
llegue,inflected form,Subjunctive of `llegar`. `quartiere` is noise.
mato,inflected form,First person of `matar`.
quita,inflected form,Third person of `quitar`.
toca,inflected form,"Third person of `tocar`. `suono`, `fondo` and `cuffia` are all noise."
toma,inflected form,Third person of `tomar`. `processo` is unrelated.
haz,inflected form,Imperative of `hacer`. The beam sense is rare and `anticipo` is not it.
fué,not Spanish,"An obsolete accented spelling of `fue`, dropped by the RAE in 1959."
che,not Spanish,"An Italian and Rioplatense interjection, not general Spanish vocabulary."
co,not Spanish,"An abbreviation, not a word."
